# pixel value, red, green, blue
1,255,0,0
2,255,0,0
3,255,0,0
4,255,0,0
5,255,0,0
6,255,0,0
7,255,0,0
8,255,0,0
9,255,0,0
10,255,0,0
11,255,0,0
12,255,0,0
13,255,0,0
14,255,0,0
15,255,0,0
16,255,0,0
17,255,0,0
18,255,0,0
19,255,0,0
20,255,0,0
21,255,0,0
22,255,0,0
23,255,0,0
24,255,0,0
25,255,0,0
26,255,0,0
27,255,0,0
28,255,0,0
29,255,0,0
30,255,0,0
31,255,0,0
32,255,0,0
33,255,0,0
34,255,0,0
35,255,0,0
36,255,0,0
37,255,0,0
38,255,0,0
39,255,0,0
40,255,0,0
41,255,0,0
42,255,0,0
43,255,0,0
44,255,0,0
45,255,0,0
46,255,0,0
47,255,0,0
48,255,0,0
49,255,0,0
50,255,0,0
51,255,0,0
52,255,0,0
53,255,0,0
54,255,0,0
55,255,0,0
56,255,0,0
57,255,0,0
58,255,0,0
59,255,0,0
60,255,0,0
61,255,0,0
62,255,0,0
63,255,0,0
64,255,0,0
65,255,0,0
66,255,0,0
67,255,0,0
68,255,0,0
69,255,0,0
70,255,0,0
71,255,0,0
72,255,0,0
73,255,0,0
74,255,0,0
75,255,0,0
76,255,0,0
77,255,0,0
78,255,0,0
79,255,0,0
80,255,0,0
81,255,0,0
82,255,0,0
83,255,0,0
84,255,0,0
85,255,0,0
86,255,0,0
87,255,0,0
88,255,13,0
89,255,26,0
90,255,39,0
91,255,52,0
92,255,65,0
93,255,78,0
94,255,91,0
95,255,104,0
96,255,117,0
97,255,130,0
98,255,143,0
99,255,156,0
100,255,169,0
101,255,182,0
102,255,195,0
103,255,208,0
104,255,221,0
105,255,234,0
106,255,247,0
107,255,255,0
108,251,251,9
109,247,247,18
110,244,244,27
111,240,240,36
112,236,236,45
113,232,232,54
114,228,228,63
115,225,225,72
116,221,221,81
117,217,217,90
118,213,213,98
119,209,209,107
120,206,206,116
121,202,202,125
122,198,198,134
123,194,194,143
124,190,190,152
125,187,187,161
126,183,183,170
127,179,179,179
128,176,181,182
129,174,182,185
130,171,184,188
131,169,185,191
132,166,187,195
133,163,189,198
134,161,190,201
135,158,192,204
136,156,193,207
137,153,195,210
138,150,197,213
139,148,198,216
140,145,200,219
141,143,201,222
142,140,203,226
143,137,205,229
144,135,206,232
145,132,208,235
146,130,209,238
147,127,211,241
148,122,205,238
149,117,199,235
150,111,194,232
151,106,188,229
152,101,182,226
153,96,176,222
154,91,170,219
155,85,165,216
156,80,159,213
157,75,153,210
158,70,147,207
159,65,141,204
160,59,136,201
161,54,130,198
162,49,124,195
163,44,118,191
164,39,112,188
165,33,107,185
166,28,101,182
167,23,95,179
168,18,89,176
169,13,83,173
170,7,77,168
171,7,77,168
172,7,77,168
173,7,77,168
174,7,77,168
175,7,77,168
176,7,77,168
177,7,77,168
178,7,77,168
179,7,77,168
180,7,77,168
181,7,77,168
182,7,77,168
183,7,77,168
184,7,77,168
185,7,77,168
186,7,77,168
187,7,77,168
188,7,77,168
189,7,77,168
190,7,77,168
191,7,77,168
192,7,77,168
193,7,77,168
194,7,77,168
195,7,77,168
196,7,77,168
197,7,77,168
198,7,77,168
199,7,77,168
200,7,77,168
201,7,77,168
202,7,77,168
203,7,77,168
204,7,77,168
205,7,77,168
206,7,77,168
207,7,77,168
208,7,77,168
209,7,77,168
210,7,77,168
211,7,77,168
212,7,77,168
213,7,77,168
214,7,77,168
215,7,77,168
216,7,77,168
217,7,77,168
218,7,77,168
219,7,77,168
220,7,77,168
221,7,77,168
222,7,77,168
223,7,77,168
224,7,77,168
225,7,77,168
226,7,77,168
227,7,77,168
228,7,77,168
229,7,77,168
230,7,77,168
231,7,77,168
232,7,77,168
233,7,77,168
234,7,77,168
235,7,77,168
236,7,77,168
237,7,77,168
238,7,77,168
239,7,77,168
240,7,77,168
241,7,77,168
242,7,77,168
243,7,77,168
244,7,77,168
245,7,77,168
246,7,77,168
247,7,77,168
248,7,77,168
249,7,77,168
250,7,77,168
251,7,77,168
252,7,77,168
253,7,77,168
254,7,77,168
255,7,77,168
